,ylat,xlong,p_area,p_tech_sec,p_axis,p_azimuth,p_tilt,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
0,45.25749969,-93.78839874,92600,c-si,single-axis,180,,5.0,7.0,greenfield,non-agrivoltaic,0.142344
1,44.54199982,-92.97170258,93358,c-si,fixed-tilt,180,0.0,5.0,6.5,greenfield,non-agrivoltaic,0.0038591
2,44.52709961,-92.97180176,93795,c-si,fixed-tilt,180,0.0,5.0,6.5,greenfield,non-agrivoltaic,-0.0036663
3,45.45849991,-93.2723999,123941,c-si,fixed-tilt,180,,6.62,8.8,greenfield,non-agrivoltaic,0.0358054
4,44.11489868,-91.79129791,89591,c-si,fixed-tilt,180,30.0,4.8,7.0,greenfield,non-agrivoltaic,0.201243
5,45.49509811,-94.11779785,89384,c-si,fixed-tilt,180,20.0,5.0,6.8,greenfield,non-agrivoltaic,0.153533
6,45.09749985,-93.64530182,94364,c-si,fixed-tilt,180,30.0,5.0,7.0,greenfield,non-agrivoltaic,0.109561
7,44.50630188,-92.35980225,78881,c-si,fixed-tilt,180,0.0,5.0,7.2,greenfield,non-agrivoltaic,0.506166
8,44.89659882,-95.69439697,139104,c-si,single-axis,180,30.0,5.0,7.5,greenfield,non-agrivoltaic,-0.360546
9,44.79330063,-93.90110016,216546,c-si,single-axis,180,16.0,8.5,12.2,greenfield,agrivoltaic,-0.304346
10,44.27429962,-93.3105011,145797,c-si,single-axis,180,0.0,5.5,7.9,greenfield,agrivoltaic,-0.354319
11,44.0923996,-93.53309631,284130,c-si,single-axis,180,25.0,10.0,15.9,greenfield,agrivoltaic,-0.313133
12,45.39369965,-94.72509766,275280,c-si,single-axis,180,0.0,10.0,15.2,greenfield,agrivoltaic,-0.330388
13,44.15459824,-93.91660309,144697,c-si,single-axis,180,15.0,5.5,8.2,greenfield,agrivoltaic,-0.296665
14,44.0265007,-92.8812027,176951,c-si,single-axis,180,17.0,6.5,9.9,greenfield,agrivoltaic,-0.313425
15,45.45240021,-92.90190125,177544,c-si,single-axis,180,16.0,6.5,9.6,greenfield,agrivoltaic,-0.35696
16,45.64080048,-94.60369873,277393,c-si,single-axis,180,0.0,10.0,15.2,greenfield,agrivoltaic,-0.340145
17,45.48619843,-92.89019775,3112889,c-si,single-axis,180,20.0,100.0,138.0,greenfield,non-agrivoltaic,-0.582899
18,44.26689911,-92.66940308,22384,c-si,fixed-tilt,180,20.0,1.0,1.4,greenfield,non-agrivoltaic,-0.160383
19,43.92630005,-93.48560333,18642,thin-film,fixed-tilt,180,20.0,1.0,1.5,greenfield,non-agrivoltaic,0.255311
20,45.39929962,-94.71640015,22207,thin-film,fixed-tilt,180,0.0,1.0,1.5,greenfield,non-agrivoltaic,-0.0443523
21,45.65330124,-95.33930206,23655,thin-film,fixed-tilt,180,,1.0,1.5,greenfield,non-agrivoltaic,-0.140273
22,45.64749908,-95.32810211,22848,thin-film,fixed-tilt,180,,1.0,1.5,greenfield,non-agrivoltaic,-0.0883142
23,45.38600159,-92.79650116,47178,c-si,fixed-tilt,180,21.0,3.0,3.9,greenfield,non-agrivoltaic,0.306399
24,44.79130173,-92.8710022,86914,c-si,fixed-tilt,180,0.0,4.9,6.4,greenfield,non-agrivoltaic,0.0969222
25,45.33560181,-92.81600189,45570,c-si,fixed-tilt,180,,2.0,2.8,greenfield,non-agrivoltaic,-0.185919
26,45.59080124,-94.1391983,22326,c-si,single-axis,180,20.0,1.0,1.0,greenfield,non-agrivoltaic,-0.572251
27,45.47309875,-92.89250183,26514,c-si,single-axis,180,,1.0,1.0,greenfield,non-agrivoltaic,-0.73638
28,45.63570023,-94.05370331,27364,c-si,single-axis,180,20.0,1.0,1.0,greenfield,agrivoltaic,-0.763559
29,45.68180084,-94.21299744,22627,c-si,single-axis,180,0.0,1.0,1.0,greenfield,agrivoltaic,-0.586074
30,44.04560089,-92.88009644,21440,c-si,single-axis,180,0.0,1.0,1.3,greenfield,non-agrivoltaic,-0.204701
31,44.94540024,-94.07240295,26215,c-si,fixed-tilt,179,,1.0,1.4,greenfield,non-agrivoltaic,-0.372423
32,44.80270004,-92.99639893,24793,c-si,single-axis,180,45.0,1.0,1.5,greenfield,non-agrivoltaic,-0.207795
33,45.28860092,-92.88230133,22581,c-si,single-axis,180,25.0,1.0,1.5,greenfield,non-agrivoltaic,-0.0703057
34,43.667099,-93.29759979,34737,c-si,single-axis,180,0.0,1.5,1.9,greenfield,non-agrivoltaic,-0.342446
35,44.11029816,-93.50289917,26174,c-si,fixed-tilt,181,,1.0,1.4,greenfield,non-agrivoltaic,-0.370482
36,45.40430069,-94.83100128,21314,thin-film,fixed-tilt,180,10.0,1.0,1.5,greenfield,non-agrivoltaic,0.0213005
