p_state,Unnamed: 0,ylat,xlong,p_area,p_azimuth,p_tilt,p_cap_ac,p_cap_dc,p_zscore,efficiency
AL,463.25,33.66228723625,-86.41340065,1333553.75,180.0,13.0,56.8875,75.9375,0.377937275,8.574933683972686e-05
AR,649.25,34.9771251675,-92.7258745825,393431.5833333333,180.08333333333334,5.833333333333333,18.208333333333332,26.141666666666666,0.03845241666666666,7.11156236510424e-05
AZ,509.97014925373134,33.12514777641791,-112.01020892985075,897335.3432835821,177.98507462686567,13.080645161290322,35.85283582089552,47.04179104477612,-0.14444140746268658,6.32318571521901e-05
CA,735.3052631578947,35.57644637286316,-118.84839794147369,716806.2168421053,178.09684210526316,16.042696629213484,27.57894736842105,35.256,-0.071383,6.638109339726468e-05
CO,1034.9479166666667,39.40644681479167,-105.18903128229168,236931.69791666666,177.8125,18.579545454545453,10.5284375,13.155208333333334,-0.30949260625,5.611719996414242e-05
CT,1039.871794871795,41.69463103871795,-72.44109168358975,77941.7435897436,178.94871794871796,10.428571428571429,5.530769230769231,7.794871794871795,0.39661440000000003,8.655445528365837e-05
DC,1043.5,38.894800184999994,-76.988651275,18107.0,125.0,20.0,3.7,4.5,4.633873899999999,0.00026920461334549667
DE,1050.0,39.129764210000005,-75.48314597363637,61229.454545454544,180.27272727272728,15.625,3.4272727272727277,4.263636363636364,0.6942601454545454,9.938469076929869e-05
FL,1127.607142857143,28.56749173607143,-82.02144159571428,1032234.8095238095,185.26190476190476,17.962962962962962,53.42333333333334,74.1952380952381,0.12441131904761903,7.482094754400309e-05
GA,1294.4886363636363,32.32550553840909,-83.47967988852272,682266.5113636364,172.75,13.544303797468354,32.165454545454544,44.435227272727275,-0.07101587386363636,6.639692521254188e-05
HI,1341.4782608695652,21.547317420869565,-158.36917512173915,222137.91304347827,174.1304347826087,13.285714285714286,12.000434782608695,15.778260869565216,0.2671457,8.097361844786377e-05
IA,1250.0,42.05294460888889,-92.17388915999999,297545.1111111111,179.88888888888889,6.666666666666667,13.022222222222222,16.7,-0.02145298888888889,6.853335564158843e-05
ID,1259.0,43.08938853,-115.18222298888888,748595.6666666666,180.0,9.444444444444445,26.88888888888889,35.900000000000006,-0.35776771111111105,5.403627348421079e-05
IL,1332.6,40.74911384575,-88.960321331375,165776.1625,178.0,10.256410256410257,7.310625,9.68875,-0.05930538875,6.690169929614027e-05
IN,1442.1,39.91701872671429,-86.34705004085714,120924.2,178.54285714285714,12.75,7.875285714285714,9.688571428571427,-0.07629340142857143,6.616942303032778e-05
KS,1413.5,38.257617315,-98.54890060833333,128131.16666666667,188.83333333333334,15.0,5.033333333333333,6.733333333333333,-0.3882619666666667,5.2721806489057075e-05
KY,1418.5,38.351649285,-84.5444240575,103766.25,180.0,30.0,5.8,7.875,0.042760750000000014,7.130133689480734e-05
LA,1421.5,30.24004936,-90.61700057499999,785971.0,180.0,10.0,35.0,50.75,0.2083395,7.843872840935276e-05
MA,1658.9816753926702,42.188642671623036,-71.73640711510471,50518.69895287958,179.36910994764398,12.725663716814159,2.7519895287958116,3.683507853403141,0.3250801596858639,8.347091813798648e-05
MD,1912.402985074627,39.12153448970149,-76.6766502038806,82886.28358208956,180.8955223880597,17.90625,4.928358208955224,6.576119402985074,0.25643025074626863,8.051170130644308e-05
ME,1866.5,44.346460344,-70.042739868,228380.3,179.0,18.571428571428573,18.380000000000003,26.27,0.56608,9.385939651588856e-05
MI,1885.0,43.03461498740741,-84.38738872407409,121253.88888888889,180.1851851851852,12.142857142857142,5.912222222222222,7.65925925925926,-0.16510066666666667,6.234132904445088e-05
MN,415.2897435897436,44.86220847905128,-93.77141942723077,64622.148717948716,180.15897435897435,13.693877551020408,2.7176410256410257,3.7433333333333336,-0.17027926025641027,6.211809730189804e-05
MO,1908.0,38.495341853157896,-93.08953656736841,66781.05263157895,180.52631578947367,13.4375,3.8589473684210525,4.88421052631579,0.08231738421052633,7.300644771854088e-05
MS,1920.5,31.996383031666667,-89.00921631,852279.8333333334,152.5,12.5,27.78333333333333,38.55,-0.1818586666666667,6.16189517405113e-05
MT,1926.5,46.462733585,-110.28383383333333,83435.66666666667,180.0,12.5,2.8333333333333335,3.9166666666666665,-0.49779083333333335,4.800046958719679e-05
NC,3248.0,35.52617416155146,-78.73603315683565,167093.90322580645,180.40092165898616,13.382905982905983,8.429354838709678,11.435023041474654,0.04388715499231951,7.134989306252638e-05
NE,1933.5,41.2634873375,-98.3187370325,75587.0,184.5,20.0,3.4575,4.475,-0.1936388125,6.111116063231293e-05
NH,1938.0,42.81140137,-71.50039673,36246.0,180.0,25.0,2.4,3.0,0.308768,8.276775368316503e-05
NJ,2012.5,40.232757336621624,-74.71696348466216,78624.77027027027,180.15540540540542,14.817518248175183,4.94391891891892,6.1668918918918925,0.25254859256756756,8.034439730681524e-05
NM,2118.5,34.4133953753125,-106.1009843359375,303872.28125,178.65625,14.067796610169491,10.908125,13.728125,-0.4376347265625,5.059354750958253e-05
NV,2170.5,36.90351257275,-115.96824989249998,1512385.875,180.5,13.945945945945946,72.31575000000001,91.7,-0.2712142375,5.776722706872003e-05
NY,2327.7413793103447,42.527979176551725,-75.52647616922413,67489.28879310345,176.96120689655172,12.643243243243242,3.223706896551724,4.389655172413793,0.011701936206896555,6.996252743362747e-05
OH,2433.5,40.780833435666665,-83.25509745299999,327020.1,181.3,15.636363636363637,15.359333333333332,20.153333333333332,-0.12265364999999999,6.417103275621944e-05
OK,2453.5,35.008020398999996,-97.616278075,111057.1,180.0,8.2,4.55,5.47,-0.33232339,5.513307445176163e-05
OR,2519.42,44.3508658983,-121.603400427,144268.26,179.66,13.322222222222223,5.977,8.009,-0.013924303000000002,6.885788766830406e-05
PA,2572.0,40.31073103275862,-76.75321039689655,92780.75862068965,176.3448275862069,9.38888888888889,4.806896551724138,6.082758620689655,-0.033764472413793115,6.800266366208578e-05
RI,2605.0,41.69974053891892,-71.56650831891892,63670.78378378379,179.9189189189189,12.566666666666666,4.107567567567568,5.135135135135135,0.6609788243243243,9.795008435288927e-05
